KF_Category,KF_Dimension,Scale_Type,Scale_Range,Behavioural_Descriptors,Assessment_Method,Higher_Is_Better,Weight_in_Scoring
Strategic Thinking,Strategic Vision,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Focuses on immediate tasks; rarely articulates a longer-term direction. | [2] Develops short-term plans; limited integration of strategic priorities. | [3] Consistently communicates and links plans to a clear organisational vision. | [4] Sets bold inspiring vision; anticipates disruption; shapes enterprise-level strategy.,360-degree Feedback + Executive Case Study Interview,Yes,Equal
Strategic Thinking,Business Acumen,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Limited understanding of business drivers or financial levers. | [2] Basic commercial awareness; understands P&L at a functional level. | [3] Strong commercial insight; connects decisions to financial and competitive outcomes. | [4] Exceptional business acumen; identifies value-creation opportunities across sectors.,360-degree Feedback + Executive Case Study Interview,Yes,Equal
Strategic Thinking,Market and External Awareness,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Minimal awareness of market trends; reactive stance. | [2] Monitors direct competitors; some ability to identify threats. | [3] Proactively scans markets; translates intelligence into actionable strategy. | [4] Deep multi-sector insight; shapes organisational strategy based on external signals.,360-degree Feedback + Executive Case Study Interview,Yes,Equal
Operational Excellence,Drive for Results,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Misses targets; limited urgency or accountability. | [2] Meets basic expectations; requires oversight on complex deliverables. | [3] Consistently delivers results; holds self and others accountable. | [4] Sets pace for execution culture; delivers breakthrough outcomes reliably.,360-degree Feedback + Performance Data Review,Yes,Equal
Operational Excellence,Process Optimization,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Follows established processes; little initiative to improve. | [2] Identifies inefficiencies; proposes incremental improvements. | [3] Redesigns processes; measurably improves throughput and quality. | [4] Drives enterprise-wide operational transformation; benchmarks at industry-best.,360-degree Feedback + Performance Data Review,Yes,Equal
Operational Excellence,Quality Focus,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Accepts sub-standard output; minimal quality awareness. | [2] Meets minimum quality standards; reactive to quality issues. | [3] Proactively maintains high quality; implements QA frameworks. | [4] Embeds quality culture; zero-defect mindset drives continuous improvement.,360-degree Feedback + Performance Data Review,Yes,Equal
Decision Effectiveness,Analytical Thinking,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Relies on intuition; minimal use of data. | [2] Uses available data; some gaps in analytical rigour. | [3] Applies structured analysis; synthesises quantitative and qualitative inputs. | [4] Builds analytical frameworks; models complex decisions with high precision.,In-Basket Exercise + Structured Behavioural Interview,Yes,Equal
Decision Effectiveness,Sound Judgment,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Judgment frequently impaired by bias or incomplete information. | [2] Makes reasonable judgments in familiar situations. | [3] Exercises sound judgment across complex cross-functional scenarios. | [4] Exemplary judgment; trusted advisor on highest-stakes decisions.,In-Basket Exercise + Structured Behavioural Interview,Yes,Equal
Decision Effectiveness,Decisiveness Under Uncertainty,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Avoids decisions under uncertainty; escalates prematurely. | [2] Makes basic decisions in familiar ambiguous scenarios. | [3] Navigates complex uncertainty; balances speed and accuracy effectively. | [4] Thrives in high-stakes ambiguity; makes bold well-calibrated decisions.,In-Basket Exercise + Structured Behavioural Interview,Yes,Equal
People Leadership,Develops Talent,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Limited focus on team growth; generic or absent coaching. | [2] Provides occasional feedback; some development conversations. | [3] Actively coaches; creates individual development plans; retains talent. | [4] Builds leadership pipelines; systematic talent architect across the organisation.,360-degree Feedback + Direct Report Survey + Assessment Centre,Yes,Equal
People Leadership,Builds Effective Teams,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Team is fragmented; limited collaboration or shared purpose. | [2] Maintains functional team; handles conflict reactively. | [3] Builds cohesive high-performing teams with clear roles and purpose. | [4] Creates legendary team cultures; drives top-decile engagement and performance.,360-degree Feedback + Direct Report Survey + Assessment Centre,Yes,Equal
People Leadership,Coaching Others,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Rarely coaches; delegates without developmental intent. | [2] Coaches on specific tasks; limited growth focus. | [3] Uses structured coaching to develop capability and build confidence. | [4] Master coach; transforms performance through targeted development interventions.,360-degree Feedback + Direct Report Survey + Assessment Centre,Yes,Equal
Leading Change,Change Sponsorship,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Resistant to change; defends status quo. | [2] Accepts change when directed; limited proactive advocacy. | [3] Champions change initiatives; builds stakeholder buy-in effectively. | [4] Drives transformational change; inspires the organisation through disruption.,360-degree Feedback + Change Project Review,Yes,Equal
Leading Change,Adaptability,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Struggles to adjust to new contexts; rigid in approach. | [2] Adjusts when required; some difficulty in highly fluid environments. | [3] Adapts quickly; embraces new ways of working with energy and focus. | [4] Thrives on ambiguity; turns disruption into competitive advantage consistently.,360-degree Feedback + Change Project Review,Yes,Equal
Leading Change,Resilience,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Struggles under pressure; slow to recover from setbacks. | [2] Maintains performance under moderate stress; limited recovery agility. | [3] Demonstrates strong resilience; sustains performance through adversity. | [4] Exceptional resilience; sustains peak performance in sustained high-pressure environments.,360-degree Feedback + Change Project Review,Yes,Equal
